"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.078285000E2,5.233433825E1,4.864185307E0,2.758929729E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.082561110E2,5.233462821E1,4.864140686E0,2.771365881E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.143618641E2,5.233424279E1,4.864199681E0,2.776243210E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.148943341E2,5.233457132E1,4.864153449E0,2.748179317E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.209510690E2,5.233420327E1,4.864206948E0,2.719683886E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.214635321E2,5.233451717E1,4.864152452E0,2.738915801E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.275250341E2,5.233417539E1,4.864207006E0,2.757078171E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.281725470E2,5.233452888E1,4.864152811E0,2.798476577E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.341948941E2,5.233418353E1,4.864207038E0,2.836385727E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.347220241E2,5.233454674E1,4.864150483E0,2.845336080E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.407947730E2,5.233418830E1,4.864206564E0,2.854077935E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.412931701E2,5.233450436E1,4.864162199E0,2.750233889E0,-1.000000000E0,-1.000000000E0,4.108656179E1,4.108656179E1
2.473207251E2,5.233416985E1,4.864211466E0,2.655099273E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.478619950E2,5.233451233E1,4.864160083E0,2.657763004E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.538719081E2,5.233417591E1,4.864209761E0,2.660688281E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.543919201E2,5.233452742E1,4.864149940E0,2.715815544E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.604542791E2,5.233418135E1,4.864205643E0,2.767162442E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
2.609900950E2,5.233449228E1,4.864154849E0,2.725158930E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
