"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.373310114E3,5.233459755E1,4.864166120E0,3.042917490E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.388327892E3,5.233459755E1,4.864166120E0,3.030894995E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.403400541E3,5.233459755E1,4.864166120E0,3.019438386E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.418921006E3,5.233449761E1,4.864233020E0,3.016486287E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.433972575E3,5.233446213E1,4.864256767E0,3.013623118E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.449007309E3,5.233444954E1,4.864265196E0,3.010885835E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.464081405E3,5.233444507E1,4.864268188E0,3.008266330E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.479082570E3,5.233444348E1,4.864269249E0,3.005757093E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.494175824E3,5.233444292E1,4.864269626E0,3.003351331E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.509184494E3,5.233444272E1,4.864269760E0,3.001042843E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.524192502E3,5.233444265E1,4.864269808E0,2.998825788E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.539289786E3,5.233444262E1,4.864269824E0,2.996694803E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.554343229E3,5.233444261E1,4.864269830E0,2.994645000E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.569350970E3,5.233444261E1,4.864269833E0,2.992671847E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.584389424E3,5.233444261E1,4.864269833E0,2.990771055E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.599390540E3,5.233444261E1,4.864269834E0,2.988938689E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.614481280E3,5.233444261E1,4.864269834E0,2.987171173E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.629482325E3,5.233444261E1,4.864269834E0,2.985465169E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.644537501E3,5.233421049E1,4.864233375E0,2.985579610E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.645070016E3,5.233437688E1,4.864282774E0,3.068155408E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.651149123E3,5.233413609E1,4.864229075E0,3.182613850E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.651679072E3,5.233442052E1,4.864240699E0,3.340061605E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.657693990E3,5.233416182E1,4.864211646E0,3.493670762E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
1.658229414E3,5.233451811E1,4.864183980E0,3.475731134E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.664238087E3,5.233433509E1,4.864197205E0,3.461172223E0,-1.000000000E0,-1.000000000E0,3.569663850E1,3.569663850E1
1.664617014E3,5.233437636E1,4.864276612E0,3.477178097E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.679710571E3,5.233439116E1,4.864305093E0,3.486318052E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.694713830E3,5.233439668E1,4.864315718E0,3.492207170E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.709812386E3,5.233439874E1,4.864319683E0,3.496317923E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.724840943E3,5.233439951E1,4.864321162E0,3.499350190E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.739909378E3,5.233439980E1,4.864321713E0,3.501679182E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.754954746E3,5.233439990E1,4.864321919E0,3.503524125E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
