"Time (s)","Distance (cm)"
5.763166642E-3,5.000000000E0
1.253754473E2,0.000000000E0
1.257921087E2,5.000000000E0
1.278547305E2,0.000000000E0
1.290363728E2,5.000000000E0
1.331784820E2,0.000000000E0
1.332784847E2,5.000000000E0
1.399874349E2,0.000000000E0
1.412676308E2,5.000000000E0
2.103164132E2,0.000000000E0
2.110581026E2,5.000000000E0
8.069739033E2,0.000000000E0
8.071863952E2,5.000000000E0
