"Time (s)","X (hPa)"
2.537928547E2,1.020062943E3
2.548612177E2,1.020062714E3
2.559296337E2,1.020061493E3
2.569980387E2,1.020061035E3
2.580664597E2,1.020060806E3
2.591349097E2,1.020060272E3
2.602033197E2,1.020058594E3
2.612717377E2,1.020058594E3
2.623401567E2,1.020059204E3
2.634085817E2,1.020059433E3
2.644770107E2,1.020059433E3
2.655454247E2,1.020058136E3
2.666138077E2,1.020054779E3
2.676822077E2,1.020051346E3
2.687505637E2,1.020048599E3
2.698189097E2,1.020043640E3
2.708872677E2,1.020041275E3
2.719556327E2,1.020038071E3
2.730239977E2,1.020036392E3
2.740923677E2,1.020035858E3
2.751607187E2,1.020034256E3
2.762290717E2,1.020033493E3
2.772974047E2,1.020032654E3
2.783657837E2,1.020031967E3
2.794341187E2,1.020030365E3
2.805024567E2,1.020029068E3
2.815708157E2,1.020029068E3
2.826391727E2,1.020030975E3
2.837075197E2,1.020032425E3
2.847758157E2,1.020035553E3
2.858441737E2,1.020038528E3
2.869125647E2,1.020042725E3
2.879808647E2,1.020045090E3
2.890492387E2,1.020046768E3
2.901176167E2,1.020050888E3
2.911859917E2,1.020056000E3
2.922543567E2,1.020064621E3
2.933227107E2,1.020072479E3
2.943910787E2,1.020080261E3
2.954594437E2,1.020089722E3
2.965278587E2,1.020096893E3
2.975962287E2,1.020102463E3
2.986645597E2,1.020108414E3
2.997329037E2,1.020114136E3
3.008012867E2,1.020114136E3
3.018696577E2,1.020110779E3
3.029380117E2,1.020104599E3
3.040063517E2,1.020095215E3
3.050747257E2,1.020083618E3
3.061431037E2,1.020075989E3
3.072114867E2,1.020067520E3
3.082798487E2,1.020061417E3
3.093481637E2,1.020057755E3
3.104165067E2,1.020054550E3
3.114848507E2,1.020052490E3
3.125531937E2,1.020052490E3
3.136215387E2,1.020052643E3
3.146898837E2,1.020055008E3
3.157582457E2,1.020060425E3
3.168266637E2,1.020065689E3
3.178950587E2,1.020070114E3
3.189634037E2,1.020076218E3
3.200316907E2,1.020079117E3
3.211000627E2,1.020079422E3
3.221684517E2,1.020079803E3
3.232368407E2,1.020080490E3
3.243051947E2,1.020080795E3
3.253735687E2,1.020082474E3
3.264419357E2,1.020084000E3
3.275103067E2,1.020084839E3
3.285786827E2,1.020085068E3
3.296470917E2,1.020085068E3
3.307154897E2,1.020082779E3
3.317839497E2,1.020078354E3
3.328523827E2,1.020077667E3
3.339207457E2,1.020074768E3
3.349891227E2,1.020072250E3
3.360575537E2,1.020070953E3
3.371259917E2,1.020070953E3
3.381944097E2,1.020070953E3
3.392628447E2,1.020069733E3
3.403312727E2,1.020067825E3
3.413996637E2,1.020064850E3
3.424681177E2,1.020062256E3
3.435365957E2,1.020054932E3
3.446050697E2,1.020049057E3
3.456734747E2,1.020043182E3
3.467418857E2,1.020037231E3
3.478102737E2,1.020035553E3
3.488786677E2,1.020035553E3
3.499470377E2,1.020035553E3
3.510154597E2,1.020033493E3
3.520839527E2,1.020033417E3
3.531523977E2,1.020031586E3
3.542208057E2,1.020025864E3
3.552891817E2,1.020022125E3
3.563575857E2,1.020019531E3
3.574259827E2,1.020017624E3
3.584943877E2,1.020011139E3
3.595628097E2,1.020005875E3
3.606312347E2,1.020003815E3
3.616996407E2,1.020000229E3
3.627680687E2,1.019997253E3
3.638365187E2,1.019997253E3
3.649050007E2,1.019999542E3
3.659733727E2,1.020001221E3
3.670417537E2,1.020001755E3
3.681101407E2,1.020004654E3
3.691785537E2,1.020005722E3
