,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelWalking,labelInlift,labelOntable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_X (hPa),pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-06-07 00:00:05.003642112,-0.8250444696495665,7.636015321524442,5.838631278681778,-0.38713616121085487,-0.30378613124040527,-0.06594484626985675,1,0,0,19.254742752498125,-35.75244174489672,-69.09039514578846,1017.281036,-0.07881752170802907,0.287254593016257,0.36832584361754434,-0.0009193892338818523,0.1705763273632927,-0.0671554741050523,-0.06492663923719862
2022-06-07 00:00:05.253642112,-0.11782466652438692,6.957022339845331,7.194564279105638,-0.43425475836867133,-0.3518755863985507,0.0029734018187271855,1,0,0,11.556939922115378,-26.20175930573277,-76.68084687411452,1017.281036,-0.12379377649229589,0.2666696446164739,0.26248994656931657,0.016604456116449222,0.1793131734943099,-0.07779860023036872,-0.05213241217664449
2022-06-07 00:00:05.503642112,-0.012171883158674505,6.335793828622941,7.281510299423974,-0.1005524266269389,-0.2581423790949021,-0.06382157720656091,1,0,0,6.814430890307634,-20.04810780696924,-78.16592086439617,1017.28092175,-0.11462259368186106,0.2419910903763908,0.20879531132402818,-0.04307095385635731,0.0793309710401263,-0.055467712953155376,-0.06544213125620633
2022-06-07 00:00:05.753642112,0.6392724327592653,6.453691820704911,7.496339860855122,-0.06082213611652699,-0.04274263057313403,0.08495845458683494,1,0,0,3.6580244589221036,-18.963537573154003,-81.41605698825462,1017.2808074999999,-0.13980401140266868,0.2565914238115888,0.18698976733810713,0.0074500490644637835,0.02335467047246119,-0.03468171036090152,-0.09035915455383017
2022-06-07 00:00:06.003642112,0.7902864135705701,6.110599406197718,7.621086030177614,-0.13479575604328634,-0.2299960675925627,-0.048433741169723155,1,0,0,-0.4971871294002902,-16.407866113326552,-80.93615920439221,1017.2806932499999,-0.13596024260040626,0.25277669716328116,0.1476246200297909,-0.02725978088896857,0.08368127914428324,-0.03357555564538789,-0.0776718530884742
2022-06-07 00:00:06.253642112,1.0083746586520548,5.503224843882556,7.782564728947775,-0.08460413885015847,-0.023728417111468315,-0.08218284417098687,1,0,0,-5.844585911615323,-8.828151070014405,-80.48897657249854,1017.2805789999999,-0.12381328846948035,0.23366903186885657,0.08367610177751164,-0.005703688499428839,0.041468552054042186,-0.011317834305443614,-0.10168351442594982
2022-06-07 00:00:06.503642112,1.0675046638117898,5.607291527014543,8.245898037664878,-0.4375934022720451,0.15329291042164955,0.22064088725957715,1,0,0,-4.178744972432461,-6.211229775181414,-83.92289498343,1017.2804072499999,-0.14697513172786478,0.22788795320469765,0.0793872133264839,0.14314464077670752,0.08134546609192184,-0.03524859840967466,-0.10443567568802263
2022-06-07 00:00:06.753642112,1.1514940675502128,4.389320640707867,8.076386087851162,-0.638604946043295,-1.0404598304568915,0.060370730963532085,1,0,0,-8.913917828408795,4.286499275151158,-80.71766114806192,1017.2802354999999,-0.11071342440217952,0.17547252947732905,-0.018612491017056334,-0.02833355847037616,0.3261899686093243,-0.11668355428513544,-0.018206483427546244
2022-06-07 00:00:07.003642112,4.737649686055648,2.4593069266176366,8.366522268696453,-0.2545351330332469,-1.0903026929753676,0.2553178780813308,1,0,0,-37.97261829390215,28.23978676174018,-75.60603742990989,1017.28006375,-0.10457071058334941,0.17907479513062122,-0.31705675156975016,-0.0715904050791997,0.21345955259865246,-0.03376400461695489,-0.08155472809062128
2022-06-07 00:00:07.253642112,6.10376217025389,2.44997953152285,8.519567866244065,0.32319030671250726,0.5662000994369796,0.6617403633285764,1,0,0,-45.39616049588754,27.490762485609494,-71.7237656611817,1017.279892,-0.11551306052366801,0.22411838453221603,-0.3403311976646825,0.14243420313892252,-0.22364045649347725,0.12892893032704217,-0.21941695189753194
