,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,labelWalking,labelInlift,labelOntable,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_X (hPa)
2022-06-07 00:00:05.003642112,-0.8339338257,7.63493906248,5.8430932251600005,-0.38791960042499996,-0.30186154754666666,-0.06508195338083334,1,0,0,19.283385277083333,-35.768565177916656,-69.14211781875001,
2022-06-07 00:00:05.253642112,-0.24567511596664,6.8919441283600005,7.13385307616,-0.382491794828,-0.3850360226544,-0.031562586071160005,1,0,0,11.8447171014,-25.879129791600004,-75.88934753480001,1017.281036
2022-06-07 00:00:05.503642112,0.1735670654292,6.43459119872,7.359110650679997,-0.16102251593039998,-0.1938940527948,-0.005341522246448,1,0,0,6.549656066880001,-20.5329539492,-79.343068848,
2022-06-07 00:00:05.753642112,0.51971923828,6.370308874479999,7.46134804688,-0.053083667795319985,-0.1357030803,0.019293406540288004,1,0,0,3.3904397583200003,-18.4781288148,-80.41958862439999,
2022-06-07 00:00:06.003642112,0.7401927612599999,6.13952479252,7.557442218080001,-0.0428272824412,-0.1168419384136,0.00420692067492,1,0,0,0.6849850463950401,-16.8604682924,-81.17165954599999,
2022-06-07 00:00:06.253642112,1.244997015416,5.5338962036799995,7.972205713160001,-0.28210178226559995,-0.1415488092632,-0.10317101781160001,1,0,0,-7.92667877224,-8.259214782559999,-81.35238586400001,1017.280579
2022-06-07 00:00:06.503642112,0.7492399475160001,5.554259857080001,7.949836230559999,-0.17497056236400002,0.2573512610904,0.1981777708204,1,0,0,-1.7132870483448002,-7.12542358408,-82.10587402319999,
2022-06-07 00:00:06.753642112,1.342953314232,4.39780072636,8.409368628040001,-0.9000045275719999,-1.117002296348,0.12801372305279998,1,0,0,-10.878976440497198,5.6341593166680015,-82.74511901999998,
2022-06-07 00:00:07.003642112,4.9113527893599995,2.5622697325999995,8.099303411880001,-0.050769297450480005,-1.04340937016,0.15014537136508,1,0,0,-37.414068756,26.718369827199997,-74.59791015719999,
2022-06-07 00:00:07.253642112,5.40144563604,2.2023042846800003,8.61849574608,0.19090151122992,0.5372460835844001,0.792044403564,1,0,0,-44.0410122684,28.5327623744,-70.35457214280001,1017.279892
2022-06-07 00:00:07.503642112,4.450592944279999,3.391203955072,7.8247503475119995,0.7517062514919999,0.35885879958059996,0.061917843808000014,1,0,0,-23.2557012944,11.067628250640002,-83.7328698736,
2022-06-07 00:00:07.753642112,5.11624072264,3.38650971678,7.320017944360001,-0.12288097711600005,-0.9818850769535998,0.3903329944636,1,0,0,-30.8768243408,2.294879989596,-84.6973059088,
2022-06-07 00:00:08.003642112,9.72321047984,5.30602207024,5.3406301024000005,,,,1,0,0,-53.6605981444,-15.960031586063998,-61.86149841308001,
2022-06-07 00:00:08.253642112,-4.0515407776868,3.253861560128,-2.8799810485504,,,,1,0,0,12.534191131396,-50.050630646,52.0669870004,1017.277069
2022-06-07 00:00:08.503642112,-7.85117340096,1.4259706787200002,-5.3800221862800015,0.5704066847248,0.6626085709699999,0.4960069249644,1,0,0,47.919329223599995,-21.3316366568,73.76265563959998,
2022-06-07 00:00:08.753642112,0.28724067998119995,2.5501629089276,,-0.9470731249652,,0.6915028378523199,1,0,0,-25.343381195040003,-23.7230184948,77.707233124,1017.270813
2022-06-07 00:00:09.003642112,3.9435194091679993,3.0958501464960007,,0.8210721738735999,-0.996406873774,-0.37208881370784,1,0,0,-66.08924636799999,-11.24041686952,53.5045750416,
2022-06-07 00:00:09.253642112,2.7527276732760004,1.948557953044,,-0.4830103317605999,-1.46286869190648,,1,0,0,-52.44207260080001,0.3541972355200002,69.0461636348,
2022-06-07 00:00:09.503642112,-0.8354307129284,2.19940631102,,-1.3853773438320005,-0.21894703624400005,1.18092962067736,1,0,0,-11.50293487564,8.598768386640003,85.47564178479999,
2022-06-07 00:00:09.753642112,1.4182946411559998,4.6490861756,,0.1241556679448,0.19017912777572,-0.09818974867232,1,0,0,-17.553083342799994,-7.7284710693199985,79.76536315799999,1017.269821
2022-06-07 00:00:10.003642112,1.06596331786,4.375329455599998,,-0.010596781227600013,-0.07362840655960001,0.09903513071744001,1,0,0,-17.5420741264,-7.00198608404,79.2584735104,
2022-06-07 00:00:10.253642112,0.5953958679044,4.2211740234,,-0.04494543589392,-0.032325866594772004,0.007871495053719995,1,0,0,-15.340010680799999,-7.410220184359999,79.55924896280001,
